committee,group,mode_of_action,subgroup,chemical_class,active_ingredients,physiology_category
IRAC,29,Chordotonal organ nicotinamidase inhibitors,29,Flonicamid,Flonicamid,Nerve action
IRAC,30,GABA-gated chloride channel allosteric modulators,30,Isoxazolines; Meta-diamides,Broflanilide; Fluxametamide; Isocycloseram,Nerve action
IRAC,31,Baculoviruses,31,Granuloviruses; Nucleopolyhedroviruses,Cydia pomonella GV; Thaumatotibia leucotreta GV; Anticarsia gemmatalis MNPV; Helicoverpa armigera NPV,Midgut
IRAC,32,nAChR allosteric modulators – Site II,32,GS-omega/kappa HXTX-Hv1a peptide,GS-omega/kappa HXTX-Hv1a peptide,Nerve action
IRAC,33,Calcium-activated potassium channel (KCa2) modulators,33,Acynonapyr,Acynonapyr,Nerve action
IRAC,34,Mitochondrial complex III electron transport inhibitors – Qi site,34,Flometoquin,Flometoquin,Energy metabolism
IRAC,35,RNA interference mediated target suppressors,35,RNA,Ledprona; Vadescana,Protein / gene expression
IRAC,36,Chordotonal organ modulators – undefined target site,36,Dimpyridaz,Dimpyridaz,Nerve action
IRAC,37,Vesicle transport (V-ATPase) inhibitor,37,Oxazosulfyl,Oxazosulfyl,Cellular transport
IRAC,UN,Unknown or uncertain mode of action,UN,Various,Azadirachtin; Bromopropylate; Benzoximate; Dicofol; Pyridalyl,Unknown / uncertain
